company,rep_topic,rep_prob,T10_팀바팀부서편차,T11_보상연봉,T1_워라밸복지,T2_계약직전환,T3_업무강도편차,T4_열악한근무환경,T5_군대식조직문화,T6_비효율문서작업,T7_성장성부족,T8_사내정치불공정,T9_경영진문제,company_clean,company_info,산업,기업형태,사원수,설립일,company_norm,별점
현대이엔티(주),T11_보상연봉,0.338983051,0.0169491525,0.338983051,0.13559322,0.0338983051,0.0847457627,0.118644068,0.0169491525,0.0508474576,0.101694915,0.101694915,0,현대이엔티,현대이엔티(주),전기/전자/제어,중소기업,20명,2007.02.27,현대이엔티,2.203389831
현대인베스트먼트자산운용(주),T11_보상연봉,0.272727273,0.272727273,0.272727273,0.0303030303,0,0.0606060606,0.0606060606,0.0606060606,0,0.0909090909,0.0909090909,0.0606060606,현대인베스트먼트자산운용,현대인베스트먼트자산운용(주),기타 금융,중소기업,85명,2000.07.25,현대인베스트먼트자산운용,3.151515152
현대자동차(주),T1_워라밸복지,0.173333333,0.153333333,0.113333333,0.173333333,0.0466666667,0.08,0.113333333,0.0666666667,0.0266666667,0.0933333333,0.0866666667,0.0466666667,현대자동차,현대자동차(주),기계/설비/자동차,대기업,71666명,1969.12.29,현대자동차,4.166666667
현대정보기술(주),T1_워라밸복지,0.174825175,0.0699300699,0.104895105,0.174825175,0,0.0979020979,0.0769230769,0.0489510489,0.034965035,0.167832168,0.13986014,0.0839160839,현대정보기술,현대정보기술(주),IT컨설팅,대기업,619명,1989.05.15,현대정보기술,2.594405594
현대제철(주),T4_열악한근무환경,0.273333333,0.0866666667,0.0466666667,0.133333333,0.00666666667,0.14,0.273333333,0.1,0.0333333333,0.0266666667,0.0733333333,0.08,현대제철,현대제철(주),금속/재료/철강/요업,대기업,"10,838명",1964.10.10,현대제철,3.4
현대종합금속(주),T11_보상연봉,0.166666667,0.0933333333,0.166666667,0.126666667,0.0266666667,0.0466666667,0.08,0.08,0.0933333333,0.0866666667,0.14,0.06,현대종합금속,현대종합금속(주),금속/재료/철강/요업,대기업,847명,1975.09.03,현대종합금속,2.706666667
현대종합상사(주),T3_업무강도편차,0.146666667,0.14,0.0133333333,0.14,0,0.146666667,0.0333333333,0.113333333,0.14,0.0933333333,0.126666667,0.0533333333,현대종합상사,현대종합상사(주),판매유통,대기업,363명,1976.12.08,현대종합상사,2.793333333
현대카드(주),T2_계약직전환,0.2,0.173333333,0.0266666667,0.133333333,0.2,0.14,0.0733333333,0.0466666667,0.0666666667,0.00666666667,0.113333333,0.02,현대카드,현대카드(주),대출/캐피탈/여신,대기업,"1,994명",1984.10.02,현대카드,3.306666667
현대캐피탈(주),T2_계약직전환,0.326666667,0.126666667,0.0333333333,0.08,0.326666667,0.12,0.0466666667,0.113333333,0.02,0.0466666667,0.0666666667,0.02,현대캐피탈,현대캐피탈(주),대출/캐피탈/여신,대기업,"2,618명",1993.12.22,현대캐피탈,3.586666667
현대커머셜(주),T2_계약직전환,0.26,0.12,0.0266666667,0.173333333,0.26,0.133333333,0.0666666667,0.04,0.0266666667,0.0333333333,0.08,0.04,현대커머셜,현대커머셜(주),대출/캐피탈/여신,대기업,461명,2007.04.01,현대커머셜,3.02
현대통신(주),T3_업무강도편차,0.162162162,0.108108108,0.148648649,0.0810810811,0,0.162162162,0.0675675676,0.0405405405,0.0540540541,0.027027027,0.162162162,0.148648649,현대통신,현대통신(주),전기/전자/제어,중소기업,113명,1998.04.25,현대통신,2.824324324
현대트랜시스(주),T2_계약직전환,0.213333333,0.0866666667,0.106666667,0.153333333,0.213333333,0.0466666667,0.2,0.04,0,0.106666667,0.0266666667,0.02,현대트랜시스,현대트랜시스(주),기계/설비/자동차,대기업,"7,291명",1999.12.28,현대트랜시스,3.686666667
현대파워시스템(주),T1_워라밸복지,0.289473684,0.131578947,0.052631579,0.289473684,0,0.236842105,0.052631579,0.052631579,0.052631579,0.0263157895,0.0263157895,0.0789473684,현대파워시스템,현대파워시스템(주),전기/전자/제어,중소기업,40명,1993.01.01,현대파워시스템,2.578947368
현대파워텍(주),T1_워라밸복지,0.226666667,0.1,0.06,0.226666667,0.00666666667,0.173333333,0.126666667,0.14,0.0266666667,0.0733333333,0.0533333333,0.0133333333,현대파워텍,현대파워텍(주),기계/설비/자동차,대기업,"1,871명",2001.03.14,현대파워텍,3.313333333
현대하이라이프손해사정(주),T1_워라밸복지,0.346666667,0.04,0.0666666667,0.346666667,0.02,0.28,0.0666666667,0.0266666667,0.00666666667,0.0466666667,0.08,0.02,현대하이라이프손해사정,현대하이라이프손해사정(주),증권/보험/카드,대기업,927명,2002.06.20,현대하이라이프손해사정,2.633333333
현대하이스코(주),T5_군대식조직문화,0.24137931,0.0689655172,0.0862068965,0.120689655,0.0172413793,0.0689655172,0.120689655,0.24137931,0.0344827586,0.224137931,0.0172413793,0,현대하이스코,현대하이스코(주),금속/재료/철강/요업,대기업,357명,1975.03.18,현대하이스코,3.931034483
현대하이카손해사정(주),T3_업무강도편차,0.307692308,0.0854700855,0.153846154,0.205128205,0.0256410256,0.307692308,0.0341880342,0.094017094,0.0170940171,0.00854700855,0.0512820513,0.0170940171,현대하이카손해사정,현대하이카손해사정(주),증권/보험/카드,대기업,778명,1990.02.22,현대하이카손해사정,3.47008547
현대하이텍(주),T1_워라밸복지,0.538461539,0.0384615385,0.0384615385,0.538461539,0,0.0769230769,0.153846154,0,0.0384615385,0.0384615385,0.0769230769,0,현대하이텍,현대하이텍(주),기계/설비/자동차,-,65명,-,현대하이텍,1.5
현대해상화재보험(주),T10_팀바팀부서편차,0.2,0.2,0.1,0.0933333333,0.0333333333,0.14,0.0466666667,0.06,0.00666666667,0.133333333,0.133333333,0.0533333333,현대해상화재보험,현대해상화재보험(주),증권/보험/카드,대기업,"3,212명",1955.03.05,현대해상화재보험,4.093333333
홍콩상하이은행서울지점,T11_보상연봉,0.213333333,0.106666667,0.213333333,0.14,0.0666666667,0.12,0.0733333333,0.0533333333,0.0133333333,0.04,0.16,0.0133333333,홍콩상하이은행서울지점,홍콩상하이은행서울지점,은행/금융/저축,대기업,770명,1984.12.10,홍콩상하이은행서울지점,2.673333333
화인메트로병원,T1_워라밸복지,0.304347826,0.0434782609,0.304347826,0.304347826,0,0.0434782609,0.173913044,0.0434782609,0,0.0434782609,0,0.0434782609,화인메트로병원,화인메트로병원,의료,-,136명,2006.11.18,화인메트로병원,1.826086957
화일약품(주),T11_보상연봉,0.583333333,0.0208333333,0.583333333,0.0208333333,0,0,0,0,0,0.0416666667,0.166666667,0.166666667,화일약품,화일약품(주),제약/보건/바이오,중견기업,140명,1980.11.18,화일약품,2.833333333
